date,county,state,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
6/25/2020,Caledonia,Vermont,18,0,18,0,,
6/25/2020,Calhoun,Alabama,220,5,212,5,8,0
6/25/2020,Calhoun,Florida,70,6,70,6,,
6/25/2020,Calhoun,Georgia,161,5,161,5,,
6/25/2020,Calhoun,Illinois,1,0,1,0,,
6/25/2020,Calhoun,Iowa,29,0,29,0,,
6/25/2020,Calhoun,Michigan,514,31,455,30,59,1
6/25/2020,Calhoun,Mississippi,100,4,,,,
6/25/2020,Calhoun,South Carolina,74,1,74,1,0,0
6/25/2020,Calhoun,Texas,58,3,58,3,,
6/25/2020,Calhoun,West Virginia,2,0,2,0,0,
6/25/2020,Callahan,Texas,16,2,16,2,,
6/25/2020,Callaway,Missouri,46,1,46,1,,
6/25/2020,Calloway,Kentucky,71,1,,,,
6/25/2020,Calumet,Wisconsin,92,2,92,2,,
6/25/2020,Calvert,Maryland,403,25,402,24,1,1
6/25/2020,Camas,Idaho,1,0,1,,0,
6/25/2020,Cambria,Pennsylvania,62,3,46,,16,
6/25/2020,Camden,Georgia,104,1,104,1,,
6/25/2020,Camden,Missouri,55,1,55,1,,
6/25/2020,Camden,New Jersey,7185,425,7185,425,,
6/25/2020,Camden,North Carolina,23,0,23,0,,
6/25/2020,Cameron,Louisiana,36,0,36,0,,
6/25/2020,Cameron,Pennsylvania,2,0,2,,0,
6/25/2020,Cameron,Texas,1758,50,1758,50,,
6/25/2020,Camp,Texas,113,1,113,1,,
6/25/2020,Campbell,Kentucky,236,12,235,12,1,0
6/25/2020,Campbell,Tennessee,27,1,24,,3,
6/25/2020,Campbell,Virginia,32,1,,,,
6/25/2020,Campbell,Wyoming,54,0,41,,13,
6/25/2020,Camuy,Puerto Rico,35,,1,,34,
6/25/2020,Canadian,Oklahoma,218,3,218,3,,
6/25/2020,Candler,Georgia,26,0,26,0,,
6/25/2020,Cannon,Tennessee,23,0,23,,0,
6/25/2020,Canovanas,Puerto Rico,105,,16,,89,
6/25/2020,Canyon,Idaho,546,6,489,6,57,0
6/25/2020,Cape Girardeau,Missouri,123,3,123,3,,
6/25/2020,Cape May,New Jersey,697,63,697,63,,
6/25/2020,Carbon,Montana,15,0,15,0,,
6/25/2020,Carbon,Pennsylvania,271,25,267,,4,
6/25/2020,Carbon,Utah,14,0,14,0,,
6/25/2020,Carbon,Wyoming,22,1,13,,9,
6/25/2020,Caribou,Idaho,11,0,9,,2,
6/25/2020,Carlisle,Kentucky,5,1,,,,
6/25/2020,Carlton,Minnesota,81,0,81,0,,
6/25/2020,Carolina,Puerto Rico,307,,98,,209,
6/25/2020,Caroline,Maryland,297,3,297,3,0,0
6/25/2020,Caroline,Virginia,125,4,,,,
6/25/2020,Carroll,Arkansas,141,4,141,4,,
6/25/2020,Carroll,Georgia,650,39,650,39,,
6/25/2020,Carroll,Illinois,21,2,21,2,,
6/25/2020,Carroll,Indiana,103,2,103,2,0,0
6/25/2020,Carroll,Iowa,71,1,71,1,,
6/25/2020,Carroll,Kentucky,30,0,,,,
6/25/2020,Carroll,Maryland,1084,109,1082,107,2,2
6/25/2020,Carroll,Mississippi,138,11,,,,
6/25/2020,Carroll,Missouri,11,0,11,0,,
6/25/2020,Carroll,New Hampshire,52,0,52,,,
6/25/2020,Carroll,Ohio,43,3,,,,
6/25/2020,Carroll,Tennessee,36,1,31,,5,
6/25/2020,Carroll,Virginia,196,6,,,,
6/25/2020,Carson,Texas,6,0,6,0,,
6/25/2020,Carson City,Nevada,134,5,134,5,,
6/25/2020,Carter,Kentucky,21,0,,,,
6/25/2020,Carter,Missouri,6,1,6,1,,
6/25/2020,Carter,Oklahoma,75,1,75,1,,
6/25/2020,Carter,Tennessee,34,1,33,,1,
6/25/2020,Carteret,North Carolina,61,3,61,3,,
6/25/2020,Carver,Minnesota,305,1,305,1,,
6/25/2020,Cascade,Montana,26,2,26,2,,
6/25/2020,Casey,Kentucky,13,0,,,,
6/25/2020,Cass,Illinois,117,0,117,0,,
6/25/2020,Cass,Indiana,1628,10,1625,9,3,1
6/25/2020,Cass,Iowa,16,0,16,0,,
6/25/2020,Cass,Michigan,126,4,113,4,13,0
6/25/2020,Cass,Minnesota,11,2,11,2,,
6/25/2020,Cass,Missouri,119,8,119,8,,
6/25/2020,Cass,Nebraska,62,0,62,0,,
6/25/2020,Cass,North Dakota,2165,65,2165,65,,
6/25/2020,Cass,Texas,36,2,36,2,,
6/25/2020,Cassia,Idaho,191,1,163,1,28,0
6/25/2020,Castro,Texas,65,1,65,1,,
6/25/2020,Caswell,North Carolina,122,1,122,1,,
6/25/2020,Catahoula,Louisiana,154,3,154,3,,
6/25/2020,Catano,Puerto Rico,30,,11,,19,
6/25/2020,Catawba,North Carolina,600,10,600,10,,
6/25/2020,Catoosa,Georgia,291,6,291,6,,
6/25/2020,Catron,New Mexico,2,1,2,1,,
6/25/2020,Cattaraugus,New York,120,5,120,5,,
6/25/2020,Cavalier,North Dakota,2,0,2,0,,
6/25/2020,Cayey,Puerto Rico,105,,12,,93,
6/25/2020,Cayuga,New York,109,1,109,1,,
6/25/2020,Cecil,Maryland,465,29,464,28,1,1
6/25/2020,Cedar,Iowa,69,1,69,1,,
6/25/2020,Cedar,Missouri,9,0,9,0,,
6/25/2020,Cedar,Nebraska,11,0,11,0,,
6/25/2020,Ceiba,Puerto Rico,25,,7,,18,
6/25/2020,Centre,Pennsylvania,196,6,182,,14,
6/25/2020,Cerro Gordo,Iowa,68,1,68,1,,
6/25/2020,Chaffee,Colorado,78,20,,,,
6/25/2020,Chambers,Alabama,543,27,529,27,14,0
6/25/2020,Chambers,Texas,191,2,191,2,,
6/25/2020,Champaign,Illinois,806,12,806,12,,
6/25/2020,Champaign,Ohio,37,1,,,,
6/25/2020,Chariton,Missouri,6,0,6,0,,
6/25/2020,Charles,Maryland,1343,86,1341,84,2,2
6/25/2020,Charles City,Virginia,40,4,,,,
6/25/2020,Charles Mix,South Dakota,56,0,56,0,,
6/25/2020,Charleston,South Carolina,2417,21,2416,21,1,0
6/25/2020,Charlevoix,Michigan,25,2,18,2,7,0
6/25/2020,Charlotte,Florida,617,76,617,76,,
6/25/2020,Charlotte,Virginia,31,0,,,,
6/25/2020,Charlottesville city,Virginia,182,3,,,,
6/25/2020,Charlton,Georgia,43,2,43,2,,
6/25/2020,Chase,Kansas,4,0,3,,1,
6/25/2020,Chase,Nebraska,1,0,1,0,,
6/25/2020,Chatham,Georgia,935,35,935,35,,
6/25/2020,Chatham,North Carolina,901,42,901,42,,
6/25/2020,Chattahoochee,Georgia,345,0,345,0,,
6/25/2020,Chattooga,Georgia,52,2,52,2,,
6/25/2020,Chautauqua,Kansas,4,0,4,,0,
6/25/2020,Chautauqua,New York,118,4,118,4,,
6/25/2020,Chaves,New Mexico,69,2,69,2,,
6/25/2020,Cheatham,Tennessee,177,0,176,,1,
6/25/2020,Cheboygan,Michigan,26,2,21,2,5,0
6/25/2020,Chelan,Washington,297,7,297,7,,
6/25/2020,Chemung,New York,139,5,139,5,,
6/25/2020,Chenango,New York,142,3,142,3,,
6/25/2020,Cherokee,Alabama,58,7,56,7,2,0
6/25/2020,Cherokee,Georgia,1156,42,1156,42,,
6/25/2020,Cherokee,Iowa,69,0,69,0,,
6/25/2020,Cherokee,Kansas,20,0,16,,4,
6/25/2020,Cherokee,North Carolina,32,1,32,1,,
6/25/2020,Cherokee,Oklahoma,68,1,68,1,,
6/25/2020,Cherokee,South Carolina,121,6,121,6,0,0
6/25/2020,Cherokee,Texas,82,2,82,2,,
6/25/2020,Cherry,Nebraska,1,0,1,0,,
6/25/2020,Chesapeake city,Virginia,792,16,,,,
6/25/2020,Cheshire,New Hampshire,66,2,66,2,,
6/25/2020,Chester,Pennsylvania,3601,319,3349,317,252,2
6/25/2020,Chester,South Carolina,154,1,153,1,1,0
6/25/2020,Chester,Tennessee,16,0,16,,0,
6/25/2020,Chesterfield,South Carolina,335,12,335,12,0,0
6/25/2020,Chesterfield,Virginia,2710,49,,,,
6/25/2020,Cheyenne,Colorado,5,0,,,,
6/25/2020,Cheyenne,Kansas,2,0,2,,0,
6/25/2020,Cheyenne,Nebraska,18,0,18,0,,
6/25/2020,Chickasaw,Iowa,21,0,21,0,,
6/25/2020,Chickasaw,Mississippi,203,18,,,,
6/25/2020,Chicot,Arkansas,96,2,96,2,,
6/25/2020,Childress,Texas,7,0,7,0,,
6/25/2020,Chilton,Alabama,185,3,178,2,7,1
